UID,Split,Fold
Anonymized100_left,val,0
Anonymized11_left,val,0
Anonymized114_left,val,0
Anonymized119_left,val,0
Anonymized123_left,val,0
Anonymized13_left,val,0
Anonymized17_left,val,0
Anonymized26_left,val,0
Anonymized31_left,val,0
Anonymized32_left,val,0
Anonymized41_left,val,0
Anonymized47_left,val,0
Anonymized53_left,val,0
Anonymized6_left,val,0
Anonymized67_left,val,0
Anonymized73_left,val,0
Anonymized100_right,val,0
Anonymized11_right,val,0
Anonymized114_right,val,0
Anonymized119_right,val,0
Anonymized123_right,val,0
Anonymized13_right,val,0
Anonymized17_right,val,0
Anonymized26_right,val,0
Anonymized31_right,val,0
Anonymized32_right,val,0
Anonymized41_right,val,0
Anonymized47_right,val,0
Anonymized53_right,val,0
Anonymized6_right,val,0
Anonymized67_right,val,0
Anonymized73_right,val,0
Anonymized102_left,train,0
Anonymized103_left,train,0
Anonymized104_left,train,0
Anonymized105_left,train,0
Anonymized107_left,train,0
Anonymized108_left,train,0
Anonymized109_left,train,0
Anonymized110_left,train,0
Anonymized111_left,train,0
Anonymized113_left,train,0
Anonymized115_left,train,0
Anonymized116_left,train,0
Anonymized118_left,train,0
Anonymized12_left,train,0
Anonymized120_left,train,0
Anonymized122_left,train,0
Anonymized124_left,train,0
Anonymized126_left,train,0
Anonymized128_left,train,0
Anonymized129_left,train,0
Anonymized130_left,train,0
Anonymized15_left,train,0
Anonymized16_left,train,0
Anonymized18_left,train,0
Anonymized19_left,train,0
Anonymized20_left,train,0
Anonymized24_left,train,0
Anonymized25_left,train,0
Anonymized27_left,train,0
Anonymized275_left,train,0
Anonymized276_left,train,0
Anonymized278_left,train,0
Anonymized28_left,train,0
Anonymized33_left,train,0
Anonymized34_left,train,0
Anonymized35_left,train,0
Anonymized36_left,train,0
Anonymized38_left,train,0
Anonymized39_left,train,0
Anonymized40_left,train,0
Anonymized42_left,train,0
Anonymized44_left,train,0
Anonymized45_left,train,0
Anonymized46_left,train,0
Anonymized49_left,train,0
Anonymized5_left,train,0
Anonymized50_left,train,0
Anonymized51_left,train,0
Anonymized56_left,train,0
Anonymized57_left,train,0
Anonymized59_left,train,0
Anonymized60_left,train,0
Anonymized63_left,train,0
Anonymized64_left,train,0
Anonymized65_left,train,0
Anonymized66_left,train,0
Anonymized68_left,train,0
Anonymized69_left,train,0
Anonymized70_left,train,0
Anonymized71_left,train,0
Anonymized74_left,train,0
Anonymized75_left,train,0
Anonymized8_left,train,0
Anonymized9_left,train,0
Anonymized102_right,train,0
Anonymized103_right,train,0
Anonymized104_right,train,0
Anonymized105_right,train,0
Anonymized107_right,train,0
Anonymized108_right,train,0
Anonymized109_right,train,0
Anonymized110_right,train,0
Anonymized111_right,train,0
Anonymized113_right,train,0
Anonymized115_right,train,0
Anonymized116_right,train,0
Anonymized118_right,train,0
Anonymized12_right,train,0
Anonymized120_right,train,0
Anonymized122_right,train,0
Anonymized124_right,train,0
Anonymized126_right,train,0
Anonymized128_right,train,0
Anonymized129_right,train,0
Anonymized130_right,train,0
Anonymized15_right,train,0
Anonymized16_right,train,0
Anonymized18_right,train,0
Anonymized19_right,train,0
Anonymized20_right,train,0
Anonymized24_right,train,0
Anonymized25_right,train,0
Anonymized27_right,train,0
Anonymized275_right,train,0
Anonymized276_right,train,0
Anonymized278_right,train,0
Anonymized28_right,train,0
Anonymized33_right,train,0
Anonymized34_right,train,0
Anonymized35_right,train,0
Anonymized36_right,train,0
Anonymized38_right,train,0
Anonymized39_right,train,0
Anonymized40_right,train,0
Anonymized42_right,train,0
Anonymized44_right,train,0
Anonymized45_right,train,0
Anonymized46_right,train,0
Anonymized49_right,train,0
Anonymized5_right,train,0
Anonymized50_right,train,0
Anonymized51_right,train,0
Anonymized56_right,train,0
Anonymized57_right,train,0
Anonymized59_right,train,0
Anonymized60_right,train,0
Anonymized63_right,train,0
Anonymized64_right,train,0
Anonymized65_right,train,0
Anonymized66_right,train,0
Anonymized68_right,train,0
Anonymized69_right,train,0
Anonymized70_right,train,0
Anonymized71_right,train,0
Anonymized74_right,train,0
Anonymized75_right,train,0
Anonymized8_right,train,0
Anonymized9_right,train,0
Anonymized10_left,test,0
Anonymized101_left,test,0
Anonymized106_left,test,0
Anonymized112_left,test,0
Anonymized117_left,test,0
Anonymized121_left,test,0
Anonymized127_left,test,0
Anonymized14_left,test,0
Anonymized21_left,test,0
Anonymized23_left,test,0
Anonymized277_left,test,0
Anonymized29_left,test,0
Anonymized37_left,test,0
Anonymized43_left,test,0
Anonymized48_left,test,0
Anonymized54_left,test,0
Anonymized58_left,test,0
Anonymized61_left,test,0
Anonymized7_left,test,0
Anonymized72_left,test,0
Anonymized10_right,test,0
Anonymized101_right,test,0
Anonymized106_right,test,0
Anonymized112_right,test,0
Anonymized117_right,test,0
Anonymized121_right,test,0
Anonymized127_right,test,0
Anonymized14_right,test,0
Anonymized21_right,test,0
Anonymized23_right,test,0
Anonymized277_right,test,0
Anonymized29_right,test,0
Anonymized37_right,test,0
Anonymized43_right,test,0
Anonymized48_right,test,0
Anonymized54_right,test,0
Anonymized58_right,test,0
Anonymized61_right,test,0
Anonymized7_right,test,0
Anonymized72_right,test,0
